ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000333.SZ,20260414,76.06,76.55,75.5,76.55,75.78,0.77,1.0161,195781.58,1489302.845
000333.SZ,20260413,76.03,76.47,75.58,75.78,76.41,-0.63,-0.8245,182375.2,1384781.818
000333.SZ,20260410,76.52,76.74,76.06,76.41,76.52,-0.11,-0.1438,258372.67,1971065.632
000333.SZ,20260409,76.4,77.02,75.9,76.52,76.73,-0.21,-0.2737,235023.94,1796387.351
000333.SZ,20260408,76.95,77.25,76.35,76.73,76.12,0.61,0.8014,286804.12,2200099.879
000333.SZ,20260407,76.35,76.7,75.62,76.12,76.35,-0.23,-0.3012,163826.05,1246113.3
000333.SZ,20260403,77.3,77.35,76.2,76.35,77.37,-1.02,-1.3183,172772.6,1325461.933
000333.SZ,20260402,76.85,77.84,76.58,77.37,76.84,0.53,0.6897,326317.97,2523387.318
000333.SZ,20260401,76.5,77.4,76.34,76.84,76.35,0.49,0.6418,273615.77,2100652.578
000333.SZ,20260331,75.05,77.32,74.31,76.35,72.1,4.25,5.8946,694914.61,5310077.352
000333.SZ,20260330,73.35,74.0,71.77,72.1,74.78,-2.68,-3.5838,456227.15,3304801.59
000333.SZ,20260327,72.9,74.95,72.8,74.78,74.32,0.46,0.6189,319125.35,2367294.087
000333.SZ,20260326,74.89,75.54,74.18,74.32,74.8,-0.48,-0.6417,177085.33,1325335.069
000333.SZ,20260325,74.5,74.97,73.95,74.8,74.23,0.57,0.7679,184963.62,1376467.588
000333.SZ,20260324,73.73,74.42,72.8,74.23,73.37,0.86,1.1721,267147.23,1968463.615
600900.SH,20260427,26.8,26.85,26.62,26.66,26.81,-0.15,-0.5595,562598.68,1504214.891
600900.SH,20260424,26.91,26.95,26.75,26.81,26.95,-0.14,-0.5195,564464.4,1514495.496
600900.SH,20260423,26.86,27.01,26.66,26.95,26.86,0.09,0.3351,845908.0,2270225.989
600900.SH,20260422,27.13,27.13,26.82,26.86,27.13,-0.27,-0.9952,741609.24,1997674.385
600900.SH,20260421,26.86,27.15,26.85,27.13,26.84,0.29,1.0805,904432.49,2446267.987
600900.SH,20260420,26.41,26.84,26.41,26.84,26.38,0.46,1.7437,950417.99,2538195.456
600900.SH,20260417,26.55,26.58,26.38,26.38,26.55,-0.17,-0.6403,836066.71,2214978.373
600900.SH,20260416,26.56,26.7,26.52,26.55,26.55,0.0,0.0,719585.95,1912488.03
600900.SH,20260415,26.41,26.67,26.36,26.55,26.42,0.13,0.4921,970565.86,2576891.492
600900.SH,20260414,26.42,26.5,26.32,26.42,26.42,0.0,0.0,701165.97,1848972.432
600900.SH,20260413,26.39,26.43,26.24,26.42,26.4,0.02,0.0758,626263.92,1648289.578
600900.SH,20260410,26.47,26.5,26.32,26.4,26.39,0.01,0.0379,665589.04,1756489.575
600900.SH,20260409,26.58,26.58,26.31,26.39,26.58,-0.19,-0.7148,691284.54,1824031.017
600900.SH,20260408,26.52,26.58,26.39,26.58,26.48,0.1,0.3776,806199.77,2138241.99
600900.SH,20260407,26.71,26.75,26.4,26.48,26.7,-0.22,-0.824,726271.79,1926064.162
600900.SH,20260403,27.0,27.0,26.66,26.7,27.01,-0.31,-1.1477,656276.8,1757122.436
600900.SH,20260402,26.9,27.02,26.76,27.01,26.88,0.13,0.4836,739848.93,1988851.813
600900.SH,20260401,27.12,27.12,26.84,26.88,27.04,-0.16,-0.5917,906081.71,2440214.452
600900.SH,20260331,27.14,27.33,27.04,27.04,27.14,-0.1,-0.3685,802588.84,2181329.248
600900.SH,20260330,27.25,27.25,27.01,27.14,27.25,-0.11,-0.4037,692780.6,1880990.759
600900.SH,20260327,27.28,27.4,27.18,27.25,27.31,-0.06,-0.2197,685517.22,1869448.582
600900.SH,20260326,27.19,27.45,27.1,27.31,27.21,0.1,0.3675,845013.7,2305295.042
600900.SH,20260325,27.15,27.27,26.92,27.21,27.1,0.11,0.4059,860545.05,2335396.506
600900.SH,20260324,26.9,27.13,26.72,27.1,26.74,0.36,1.3463,910767.18,2455035.706
601088.SH,20260427,46.5,47.17,46.32,46.78,47.19,-0.41,-0.8688,266005.07,1243023.158
601088.SH,20260424,46.99,47.55,46.66,47.19,46.98,0.21,0.447,345475.44,1628417.118
601088.SH,20260423,45.88,47.25,45.45,46.98,45.87,1.11,2.4199,419951.62,1949774.231
601088.SH,20260422,45.98,46.8,45.8,45.87,45.98,-0.11,-0.2392,356676.41,1648892.634
601088.SH,20260421,45.23,46.16,45.22,45.98,45.23,0.75,1.6582,289870.52,1328319.917
601088.SH,20260420,45.6,45.74,45.16,45.23,45.55,-0.32,-0.7025,224465.11,1017550.185
601088.SH,20260417,45.55,45.69,45.33,45.55,45.53,0.02,0.0439,214783.05,977826.943
601088.SH,20260416,45.82,46.07,45.35,45.53,45.83,-0.3,-0.6546,275144.42,1255710.141
