关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,股票代码,股票名称
601088,中国神华：一季度净利润106.67亿元 同比下降10.7%,人民财讯4月24日电，中国神华6010884月24日披露一季报，2026年一季度实现营业收入703.97亿元，同比增长1.2%；归母净利润106.67亿元，同比下降10.7%。营收增长主要系售电量增长导致售电收入增加。,2026-04-24 18:47:00,证券时报网,http://finance.eastmoney.com/a/202604243718243124.html,601088,中国神华
601088,中国神华：第一季度净利润同比下降10.7% 主要系售电量增长导致售电收入增加,中国神华601088.SH)公告称，2026年第一季度实现营业收入703.97亿元，同比增长1.2%；归属于上市公司股东的净利润为106.67亿元，同比下降10.7%。业绩变动主要系售电量增长导致售电收入增加。,2026-04-24 18:42:19,财联社,http://finance.eastmoney.com/a/202604243718207849.html,601088,中国神华
601088,强势股追踪 主力资金连续5日净流入88股,21.78 7.33 19.54 301611 珂玛科技 10 12.49 7.19 24.79 002176 江特电机 5 10.09 7.11 29.14 300408 三环集团 5 6.40 4.81 19.25 603296 华勤技术 6 5.58 5.05 10.99 601088,2026-04-27 17:55:00,证券时报网,http://finance.eastmoney.com/a/202604273720311886.html,601088,中国神华
601088,中国神华一季度归母净利润同比降10.7%至106.7亿元,4月24日，中国神华601088公布2026年一季报，公司营业收入为704.0亿元，同比上升1.2%；归母净利润为106.7亿元，同比下降10.7%；扣非归母净利润为107.1亿元，同比下降8.5%；经营现金流净额为173.63亿元，同比下降15.5%；EPS(全面摊薄)为0.5024,2026-04-24 21:46:00,财中社,http://finance.eastmoney.com/a/202604243718525928.html,601088,中国神华
601088,2803家公司公布派现方案 合计派现13941.01亿元,宁德时代 69.5700 315.30 43.67 电力设备 000333 美的集团 38.0000 285.87 65.05 家用电器 600036 招商银行 10.0300 252.96 16.84 银行 600938 中国海油 4.8596 230.98 18.92 石油石化 601088,2026-04-27 09:34:00,证券时报网,http://finance.eastmoney.com/a/202604273719697283.html,601088,中国神华
601088,中国神华一季度净利润下滑10.7% 煤炭业务毛利下降9.4%,4月24日晚间，中国神华601088发布2026年第一季度报告。报告显示，公司一季度实现营业收入703.97亿元，同比增长1.2%；归属于上市公司股东的净利润为106.67亿元，同比下降10.7%；经营活动产生的现金流量净额为173.63亿元，同比下降15.5%。,2026-04-24 21:02:00,证券时报网,http://finance.eastmoney.com/a/202604243718466021.html,601088,中国神华
601088,科创板首单 中微公司并购重组适用简易审核程序,此前，沪市主板公司中国神华（601088.SH）于2025年12月率先披露了拟适用简易审核程序的重组草案，成为市场首单申请该程序的项目。 简易审核程序的推出，被市场视为监管层落实“并购六条”、深化并购重组市场化改革的重要具体举措之一。,2026-04-25 09:37:35,中国经营报,http://finance.eastmoney.com/a/202604253718886443.html,601088,中国神华
600436,片仔癀：获阿根廷天然牛黄进口资质,片仔癀600436.SH)公告称，公司近日收到国家药监局核准签发的《进口药材批件》，正式获得阿根廷天然牛黄进口资质。天然牛黄为公司核心产品的重要原料，此前公司均通过国内渠道采购。此次取得进口资质，有利于进一步拓宽天然牛黄采购供应渠道，保障公司核心产品原料供应稳定。,2026-04-24 18:11:56,财联社,http://finance.eastmoney.com/a/202604243718174419.html,600436,片仔癀
600436,解密主力资金出逃股 连续5日净流出507股,1.60 8.23 -11.75 002897 意华股份 5 1.60 3.69 3.42 301008 宏昌科技 5 1.57 7.65 -11.75 000876 新希望 6 1.57 7.61 -2.80 600636 *ST国化 8 1.54 15.95 -26.56 600436,2026-04-22 17:19:00,证券时报网,http://finance.eastmoney.com/a/202604223714153160.html,600436,片仔癀
600436,肝炎概念下跌1.46%，主力资金净流出113股,0.64 -5907.81 600216 浙江医药 -2.80 2.62 -5640.06 300497 富祥药业 -0.63 12.86 -5605.91 002317 众生药业 -1.97 3.97 -5279.00 301201 诚达药业 -2.67 8.33 -5257.18 600436,2026-04-17 17:26:00,证券时报网,http://finance.eastmoney.com/a/202604173709024298.html,600436,片仔癀
600436,解密主力资金出逃股 连续5日净流出286股,1.47 8.64 12.92 601858 中国科传 12 1.42 4.35 -12.45 300279 和晶科技 13 1.41 7.10 -14.50 301307 美利信 9 1.38 4.15 6.95 688802 沐曦股份-U 6 1.37 2.29 4.31 600436,2026-04-14 16:46:00,证券时报网,http://finance.eastmoney.com/a/202604143704440253.html,600436,片仔癀
600436,医药生物行业资金流出榜：恒瑞医药、药明康德等净流出资金居前,15.86 -5623.68 688506 百利天恒 -1.26 0.40 -5504.50 600645 中源协和 -2.12 2.21 -5434.45 688799 华纳药厂 -4.90 5.88 -5408.58 002788 鹭燕医药 -4.26 15.15 -5289.49 600436,2026-04-13 22:27:00,证券时报网,http://finance.eastmoney.com/a/202604133703329377.html,600436,片仔癀
600436,解密主力资金出逃股 连续5日净流出305股,合锻智能 10 1.07 2.95 1.54 603225 新凤鸣 5 1.07 5.01 1.31 300227 光韵达 5 1.06 5.91 14.19 600763 通策医疗 9 1.05 4.60 -0.93 300558 贝达药业 7 1.04 4.35 -4.95 600436,2026-04-13 22:28:00,证券时报网,http://finance.eastmoney.com/a/202604133703339568.html,600436,片仔癀
600436,9.62亿主力资金净流入，肝炎概念涨1.56%,3.35 300584 海辰药业 -0.21 7.55 856.18 3.17 688278 特宝生物 2.67 0.66 844.73 4.85 603882 金域医学 0.18 0.96 713.37 5.97 300676 华大基因 -0.37 1.06 597.34 3.35 600436,2026-04-15 16:49:00,证券时报网,http://finance.eastmoney.com/a/202604153705976761.html,600436,片仔癀
600436,创新药概念涨2.12%，主力资金净流入179股,4.90 603669 灵康药业 3.29 3.81 685.87 5.33 688373 盟科药业 2.09 2.86 655.28 5.97 600682 南京新百 0.56 1.48 621.79 5.00 688197 首药控股 3.31 4.16 606.48 5.56 600436,2026-04-15 16:49:00,证券时报网,http://finance.eastmoney.com/a/202604153705976210.html,600436,片仔癀
